Iteration,Accuracy
0,0.5875
1,0.5604166666666667
2,0.5291666666666667
3,0.5604166666666667
4,0.60625
5,0.5875
6,0.60625
7,0.5645833333333333
8,0.5604166666666667
9,0.5625
10,0.5625
11,0.60625
12,0.5479166666666667
13,0.5229166666666667
14,0.55625
15,0.5625
16,0.5479166666666667
17,0.5645833333333333
18,0.48125
19,0.5625
20,0.5479166666666667
21,0.5645833333333333
22,0.55625
23,0.5229166666666667
24,0.5291666666666667
25,0.5229166666666667
26,0.5625
27,0.5625
28,0.5625
29,0.5875
30,0.5875
31,0.55625
32,0.5625
33,0.5604166666666667
34,0.5229166666666667
35,0.5625
36,0.5604166666666667
37,0.5625
38,0.5229166666666667
39,0.48125
40,0.55625
41,0.5479166666666667
42,0.48125
43,0.5604166666666667
44,0.5479166666666667
45,0.5625
46,0.5604166666666667
47,0.5479166666666667
48,0.5229166666666667
49,0.5875
50,0.48125
51,0.5875
52,0.55625
53,0.5875
54,0.5291666666666667
55,0.5875
56,0.5291666666666667
57,0.60625
58,0.48125
59,0.5604166666666667
60,0.5229166666666667
61,0.5229166666666667
62,0.5625
63,0.5625
64,0.5604166666666667
65,0.5291666666666667
66,0.48125
67,0.5604166666666667
68,0.5479166666666667
69,0.5604166666666667
70,0.48125
71,0.60625
72,0.5229166666666667
73,0.5625
74,0.5291666666666667
75,0.5291666666666667
76,0.5479166666666667
77,0.5291666666666667
78,0.5875
79,0.5604166666666667
80,0.5604166666666667
81,0.5625
82,0.5625
83,0.5291666666666667
84,0.5229166666666667
85,0.5625
86,0.5229166666666667
87,0.5291666666666667
88,0.5229166666666667
89,0.5875
90,0.5479166666666667
91,0.5875
92,0.5645833333333333
93,0.5645833333333333
94,0.5625
95,0.5625
96,0.5291666666666667
97,0.5625
98,0.5645833333333333
99,0.5229166666666667
